Timestamp,Frequency,Peak mean,Peak max
2022-09-23 11:18:08.809927,160400000,-74.77,-59.85
2022-09-23 11:18:09.310300,160400000,-73.23,-68.39
2022-09-23 11:18:09.811032,160400000,-77.49,-69.43
2022-09-23 11:18:10.312095,160400000,-76.16,-69.79
2022-09-23 11:18:10.811750,160400000,-77.81,-69.52
2022-09-23 11:18:11.312394,160400000,-76.69,-70.58
2022-09-23 11:18:11.812754,160400000,-76.86,-70.57
2022-09-23 11:18:12.313140,160400000,-76.84,-70.16
2022-09-23 11:18:12.813793,160400000,-77.44,-68.59
2022-09-23 11:18:13.314150,160400000,-77.39,-70.82
2022-09-23 11:18:13.815433,160400000,-78.07,-69.4
2022-09-23 11:18:14.315888,160400000,-76.57,-70.41
2022-09-23 11:18:14.816900,160400000,-77.62,-70.71
2022-09-23 11:18:15.317589,160400000,-76.75,-70.67
2022-09-23 11:18:15.818521,160400000,-78.19,-69.58
2022-09-23 11:18:16.319480,160400000,-76.68,-68.88
2022-09-23 11:18:16.820149,160400000,-77.67,-69.91
2022-09-23 11:18:17.320859,160400000,-77.11,-70.27
2022-09-23 11:18:17.821777,160400000,-77.36,-70.63
2022-09-23 11:18:18.322787,160400000,-76.91,-69.82
2022-09-23 11:18:18.823776,160400000,-76.95,-70.0
2022-09-23 11:18:19.324459,160400000,-76.92,-69.34
2022-09-23 11:18:19.825160,160400000,-76.89,-71.21
2022-09-23 11:18:20.326214,160400000,-77.52,-69.82
2022-09-23 11:18:20.826575,160400000,-76.51,-70.36
2022-09-23 11:18:21.327226,160400000,-77.59,-69.34
2022-09-23 11:18:21.828026,160400000,-76.39,-69.25
2022-09-23 11:18:22.328280,160400000,-77.48,-70.8
2022-09-23 11:18:22.828619,160400000,-76.74,-69.84
2022-09-23 11:18:23.329333,160400000,-76.66,-68.55
2022-09-23 11:18:23.829625,160400000,-76.51,-69.35
2022-09-23 11:18:24.330640,160400000,-76.95,-69.75
2022-09-23 11:18:24.830714,160400000,-77.19,-70.23
2022-09-23 11:18:25.331341,160400000,-78.05,-69.5
2022-09-23 11:18:25.831741,160400000,-76.88,-69.41
2022-09-23 11:18:26.332701,160400000,-77.88,-69.31
2022-09-23 11:18:26.833115,160400000,-77.46,-70.16
2022-09-23 11:18:27.333447,160400000,-77.16,-69.75
2022-09-23 11:18:27.833851,160400000,-76.59,-70.48
2022-09-23 11:18:28.334526,160400000,-76.88,-68.19
2022-09-23 11:18:28.834902,160400000,-76.3,-69.86
2022-09-23 11:18:29.336245,160400000,-77.25,-70.22
2022-09-23 11:18:29.836431,160400000,-76.54,-70.56
2022-09-23 11:18:30.337060,160400000,-76.51,-69.56
2022-09-23 11:18:30.838456,160400000,-77.15,-69.5
2022-09-23 11:18:31.338129,160400000,-77.55,-69.11
2022-09-23 11:18:31.838731,160400000,-77.24,-69.83
2022-09-23 11:18:32.339216,160400000,-77.53,-69.32
2022-09-23 11:18:32.839479,160400000,-76.27,-69.43
2022-09-23 11:18:33.340148,160400000,-77.15,-70.99
2022-09-23 11:18:33.840558,160400000,-76.13,-69.53
2022-09-23 11:18:34.341217,160400000,-76.45,-70.55
2022-09-23 11:18:34.841917,160400000,-77.16,-70.73
2022-09-23 11:18:35.342222,160400000,-76.85,-70.9
2022-09-23 11:18:35.842955,160400000,-76.64,-68.12
2022-09-23 11:18:36.343964,160400000,-77.06,-70.38
2022-09-23 11:18:36.844936,160400000,-78.07,-70.9
2022-09-23 11:18:37.346050,160400000,-77.15,-70.04
2022-09-23 11:18:37.847067,160400000,-77.25,-69.62
2022-09-23 11:18:38.347722,160400000,-76.76,-69.52
2022-09-23 11:18:38.848728,160400000,-77.11,-69.91
2022-09-23 11:18:39.349521,160400000,-76.89,-70.46
2022-09-23 11:18:39.850696,160400000,-77.54,-69.13
2022-09-23 11:18:40.351044,160400000,-77.15,-70.47
2022-09-23 11:18:40.852074,160400000,-77.61,-70.76
2022-09-23 11:18:41.352776,160400000,-77.17,-69.78
2022-09-23 11:18:41.853745,160400000,-77.0,-70.08
2022-09-23 11:18:42.354767,160400000,-77.11,-69.76
2022-09-23 11:18:42.855433,160400000,-76.09,-70.39
2022-09-23 11:18:43.356182,160400000,-76.99,-71.06
2022-09-23 11:18:43.857261,160400000,-76.1,-67.88
2022-09-23 11:18:44.358246,160400000,-76.46,-70.06
2022-09-23 11:18:44.858894,160400000,-77.06,-70.34
2022-09-23 11:18:45.359331,160400000,-76.91,-70.86
2022-09-23 11:18:45.859615,160400000,-77.82,-70.24
2022-09-23 11:18:46.360082,160400000,-76.54,-70.65
2022-09-23 11:18:46.860696,160400000,-77.44,-70.53
2022-09-23 11:18:47.360824,160400000,-77.21,-70.84
2022-09-23 11:18:47.862089,160400000,-77.44,-71.22
2022-09-23 11:18:48.361889,160400000,-77.29,-70.46
2022-09-23 11:18:48.862885,160400000,-77.46,-69.66
2022-09-23 11:18:49.362921,160400000,-76.81,-69.14
2022-09-23 11:18:49.863651,160400000,-77.23,-70.25
2022-09-23 11:18:50.363968,160400000,-77.59,-70.46
2022-09-23 11:18:50.864704,160400000,-77.09,-69.83
2022-09-23 11:18:51.364943,160400000,-77.18,-69.57
2022-09-23 11:18:51.865502,160400000,-77.13,-70.0
2022-09-23 11:18:52.365897,160400000,-77.21,-70.81
2022-09-23 11:18:52.866954,160400000,-77.66,-70.8
2022-09-23 11:18:53.368272,160400000,-76.62,-70.43
2022-09-23 11:18:53.867705,160400000,-76.94,-69.58
2022-09-23 11:18:54.367858,160400000,-76.51,-68.53
2022-09-23 11:18:54.868775,160400000,-77.99,-69.69
2022-09-23 11:18:55.369222,160400000,-76.6,-70.46
2022-09-23 11:18:55.869469,160400000,-77.6,-69.22
2022-09-23 11:18:56.369878,160400000,-76.14,-69.88
2022-09-23 11:18:56.870619,160400000,-77.23,-70.53
2022-09-23 11:18:57.370637,160400000,-76.97,-70.25
2022-09-23 11:18:57.871384,160400000,-76.69,-70.87
2022-09-23 11:18:58.372047,160400000,-77.33,-70.46
2022-09-23 11:18:58.872143,160400000,-76.68,-71.33
2022-09-23 11:18:59.372801,160400000,-77.53,-69.58
2022-09-23 11:18:59.873241,160400000,-77.34,-68.99
2022-09-23 11:19:00.373882,160400000,-77.51,-69.65
2022-09-23 11:19:00.874588,160400000,-76.71,-71.11
2022-09-23 11:19:01.375040,160400000,-77.37,-70.63
2022-09-23 11:19:01.875011,160400000,-76.47,-70.52
2022-09-23 11:19:02.375901,160400000,-77.4,-70.18
2022-09-23 11:19:02.876226,160400000,-76.91,-70.28
2022-09-23 11:19:03.377298,160400000,-77.24,-69.89
2022-09-23 11:19:03.877328,160400000,-76.83,-70.27
2022-09-23 11:19:04.378027,160400000,-77.4,-70.61
2022-09-23 11:19:04.878137,160400000,-76.27,-69.96
2022-09-23 11:19:05.378777,160400000,-76.95,-67.95
2022-09-23 11:19:05.879501,160400000,-76.61,-68.8
2022-09-23 11:19:06.379786,160400000,-77.61,-69.47
2022-09-23 11:19:06.880239,160400000,-76.45,-69.51
2022-09-23 11:19:07.380907,160400000,-77.34,-70.2
2022-09-23 11:19:07.881064,160400000,-77.41,-70.07
2022-09-23 11:19:08.381696,160400000,-77.04,-69.59
2022-09-23 11:19:08.882333,160400000,-76.95,-70.36
2022-09-23 11:19:09.382863,160400000,-77.98,-69.85
2022-09-23 11:19:09.883534,160400000,-76.91,-70.1
2022-09-23 11:19:10.384498,160400000,-77.27,-69.95
2022-09-23 11:19:10.885224,160400000,-76.64,-68.77
2022-09-23 11:19:11.386653,160400000,-77.38,-70.31
2022-09-23 11:19:11.887087,160400000,-76.2,-69.74
2022-09-23 11:19:12.388375,160400000,-77.28,-69.76
2022-09-23 11:19:12.888739,160400000,-76.78,-70.04
2022-09-23 11:19:13.390036,160400000,-77.08,-69.52
2022-09-23 11:19:13.891726,160400000,-77.35,-70.63
2022-09-23 11:19:14.392033,160400000,-78.04,-69.08
2022-09-23 11:19:14.892783,160400000,-76.94,-69.78
2022-09-23 11:19:15.393773,160400000,-77.35,-70.69
2022-09-23 11:19:15.894483,160400000,-76.77,-70.28
2022-09-23 11:19:16.395859,160400000,-77.37,-70.55
2022-09-23 11:19:16.896360,160400000,-77.06,-70.25
2022-09-23 11:19:17.397373,160400000,-77.81,-71.11
2022-09-23 11:19:17.898142,160400000,-76.45,-69.39
2022-09-23 11:19:18.399059,160400000,-77.34,-69.48
2022-09-23 11:19:18.899992,160400000,-76.87,-70.08
2022-09-23 11:19:19.400672,160400000,-77.4,-69.6
2022-09-23 11:19:19.901377,160400000,-77.0,-69.98
2022-09-23 11:19:20.402713,160400000,-77.1,-70.15
2022-09-23 11:19:20.903125,160400000,-76.49,-70.12
2022-09-23 11:19:21.404446,160400000,-76.98,-69.97
2022-09-23 11:19:21.905112,160400000,-76.45,-70.61
2022-09-23 11:19:22.405937,160400000,-76.72,-70.66
2022-09-23 11:19:22.908908,160400000,-76.68,-69.79
2022-09-23 11:19:23.408008,160400000,-77.87,-70.99
2022-09-23 11:19:23.908662,160400000,-77.04,-71.1
2022-09-23 11:19:24.410221,160400000,-77.28,-70.33
2022-09-23 11:19:24.910359,160400000,-77.55,-69.11
2022-09-23 11:19:25.411695,160400000,-76.9,-68.9
2022-09-23 11:19:25.912391,160400000,-77.35,-70.05
2022-09-23 11:19:26.413393,160400000,-77.2,-70.47
2022-09-23 11:19:26.914391,160400000,-77.15,-70.04
2022-09-23 11:19:27.415110,160400000,-77.73,-70.7
2022-09-23 11:19:27.915916,160400000,-76.75,-69.62
2022-09-23 11:19:28.417042,160400000,-77.4,-69.76
2022-09-23 11:19:28.917666,160400000,-76.85,-70.12
2022-09-23 11:19:29.418970,160400000,-77.83,-69.7
2022-09-23 11:19:29.919356,160400000,-77.27,-70.39
2022-09-23 11:19:30.420665,160400000,-77.42,-70.06
2022-09-23 11:19:30.921052,160400000,-77.3,-70.3
2022-09-23 11:19:31.422343,160400000,-77.63,-70.59
2022-09-23 11:19:31.923009,160400000,-77.06,-70.39
2022-09-23 11:19:32.425461,160400000,-77.88,-69.88
2022-09-23 11:19:32.924810,160400000,-76.83,-69.72
2022-09-23 11:19:33.426245,160400000,-77.52,-69.36
2022-09-23 11:19:33.926972,160400000,-76.45,-70.4
2022-09-23 11:19:34.427979,160400000,-77.58,-69.96
2022-09-23 11:19:34.928990,160400000,-77.15,-69.47
2022-09-23 11:19:35.429671,160400000,-77.84,-70.79
2022-09-23 11:19:35.930319,160400000,-76.7,-70.86
2022-09-23 11:19:36.431387,160400000,-78.31,-70.25
2022-09-23 11:19:36.932040,160400000,-77.54,-69.38
2022-09-23 11:19:37.433383,160400000,-77.18,-69.2
2022-09-23 11:19:37.933792,160400000,-76.18,-70.25
2022-09-23 11:19:38.434806,160400000,-77.68,-69.98
2022-09-23 11:19:38.935561,160400000,-76.87,-70.52
2022-09-23 11:19:39.436964,160400000,-77.19,-70.16
2022-09-23 11:19:39.937744,160400000,-76.77,-70.5
2022-09-23 11:19:40.438637,160400000,-78.02,-69.73
2022-09-23 11:19:40.939362,160400000,-77.39,-69.12
2022-09-23 11:19:41.440370,160400000,-77.83,-69.42
2022-09-23 11:19:41.941042,160400000,-76.94,-70.71
2022-09-23 11:19:42.442405,160400000,-77.12,-69.15
2022-09-23 11:19:42.942768,160400000,-77.43,-70.77
2022-09-23 11:19:43.443814,160400000,-77.56,-70.79
2022-09-23 11:19:43.944497,160400000,-77.26,-70.14
2022-09-23 11:19:44.445672,160400000,-78.01,-69.48
2022-09-23 11:19:44.946303,160400000,-76.94,-69.94
2022-09-23 11:19:45.447658,160400000,-77.77,-70.23
2022-09-23 11:19:45.948059,160400000,-77.43,-71.29
2022-09-23 11:19:46.449128,160400000,-77.41,-69.9
2022-09-23 11:19:46.949775,160400000,-77.45,-70.04
2022-09-23 11:19:47.451071,160400000,-78.02,-70.36
2022-09-23 11:19:47.951819,160400000,-77.25,-70.51
2022-09-23 11:19:48.452847,160400000,-77.72,-69.99
2022-09-23 11:19:48.953192,160400000,-77.22,-70.31
2022-09-23 11:19:49.454572,160400000,-77.83,-69.76
2022-09-23 11:19:49.955258,160400000,-76.88,-70.05
2022-09-23 11:19:50.456726,160400000,-77.62,-71.19
2022-09-23 11:19:50.957097,160400000,-76.67,-69.85
2022-09-23 11:19:51.458149,160400000,-77.46,-69.84
2022-09-23 11:19:51.958797,160400000,-76.38,-70.46
2022-09-23 11:19:52.459774,160400000,-77.67,-70.91
2022-09-23 11:19:52.960819,160400000,-76.97,-70.28
2022-09-23 11:19:53.461521,160400000,-77.51,-70.32
2022-09-23 11:19:53.962195,160400000,-77.03,-70.12
2022-09-23 11:19:54.463278,160400000,-77.12,-70.5
2022-09-23 11:19:54.965001,160400000,-76.14,-68.4
2022-09-23 11:19:55.464955,160400000,-77.15,-70.1
2022-09-23 11:19:55.965388,160400000,-77.04,-69.89
2022-09-23 11:19:56.465868,160400000,-77.33,-70.3
2022-09-23 11:19:56.966265,160400000,-76.77,-70.51
2022-09-23 11:19:57.467038,160400000,-76.76,-69.39
2022-09-23 11:19:57.967097,160400000,-76.98,-70.83
2022-09-23 11:19:58.468134,160400000,-77.91,-69.12
2022-09-23 11:19:58.968225,160400000,-76.93,-70.42
2022-09-23 11:19:59.468889,160400000,-77.37,-68.72
2022-09-23 11:19:59.968937,160400000,-76.42,-69.99
2022-09-23 11:20:00.469639,160400000,-77.6,-70.45
2022-09-23 11:20:00.970327,160400000,-77.0,-70.57
2022-09-23 11:20:01.470412,160400000,-76.91,-69.7
2022-09-23 11:20:01.970825,160400000,-77.33,-69.18
2022-09-23 11:20:02.471580,160400000,-77.3,-70.52
2022-09-23 11:20:02.971973,160400000,-77.91,-70.0
2022-09-23 11:20:03.472653,160400000,-77.1,-71.32
2022-09-23 11:20:03.973032,160400000,-77.53,-69.64
2022-09-23 11:20:04.473171,160400000,-78.29,-70.33
2022-09-23 11:20:04.974184,160400000,-77.41,-69.67
2022-09-23 11:20:05.474230,160400000,-77.09,-69.07
2022-09-23 11:20:05.975307,160400000,-76.84,-69.92
2022-09-23 11:20:06.475340,160400000,-78.04,-70.73
2022-09-23 11:20:06.976184,160400000,-77.48,-69.67
2022-09-23 11:20:07.476305,160400000,-77.5,-70.23
2022-09-23 11:20:07.977020,160400000,-77.4,-69.0
2022-09-23 11:20:08.477409,160400000,-78.65,-70.98
2022-09-23 11:20:08.978400,160400000,-78.42,-70.3
2022-09-23 11:20:09.478224,160400000,-78.03,-70.51
2022-09-23 11:20:09.978905,160400000,-77.8,-69.59
2022-09-23 11:20:10.479356,160400000,-78.17,-71.03
2022-09-23 11:20:10.979961,160400000,-78.62,-70.13
2022-09-23 11:20:11.480421,160400000,-78.53,-70.58
2022-09-23 11:20:11.980746,160400000,-78.13,-70.89
2022-09-23 11:20:12.481182,160400000,-78.05,-69.54
2022-09-23 11:20:12.981883,160400000,-77.48,-70.37
2022-09-23 11:20:13.482012,160400000,-77.26,-70.46
2022-09-23 11:20:13.983024,160400000,-78.83,-69.52
2022-09-23 11:20:14.483051,160400000,-78.03,-71.11
2022-09-23 11:20:14.983787,160400000,-78.33,-70.31
2022-09-23 11:20:15.484933,160400000,-78.45,-70.63
2022-09-23 11:20:15.984634,160400000,-77.78,-69.94
2022-09-23 11:20:16.485352,160400000,-78.54,-70.46
2022-09-23 11:20:16.985701,160400000,-78.05,-70.17
2022-09-23 11:20:17.485904,160400000,-78.16,-70.64
2022-09-23 11:20:17.986624,160400000,-78.13,-70.99
2022-09-23 11:20:18.487048,160400000,-77.88,-70.34
2022-09-23 11:20:18.987710,160400000,-77.87,-70.08
2022-09-23 11:20:19.488194,160400000,-77.72,-69.96
2022-09-23 11:20:19.988527,160400000,-78.32,-70.97
2022-09-23 11:20:20.488936,160400000,-78.05,-70.36
2022-09-23 11:20:20.989334,160400000,-78.13,-69.31
2022-09-23 11:20:21.489996,160400000,-78.6,-70.28
2022-09-23 11:20:21.990680,160400000,-78.07,-70.12
2022-09-23 11:20:22.491081,160400000,-77.4,-68.85
2022-09-23 11:20:22.991252,160400000,-78.16,-67.64
2022-09-23 11:20:23.491894,160400000,-77.64,-69.54
2022-09-23 11:20:23.992330,160400000,-78.13,-70.14
2022-09-23 11:20:24.493362,160400000,-78.11,-70.22
2022-09-23 11:20:24.993158,160400000,-78.13,-70.4
2022-09-23 11:20:25.493856,160400000,-78.52,-70.19
2022-09-23 11:20:25.994253,160400000,-77.92,-69.72
2022-09-23 11:20:26.494963,160400000,-78.22,-70.63
2022-09-23 11:20:26.995331,160400000,-77.94,-69.87
2022-09-23 11:20:27.495867,160400000,-78.34,-70.36
2022-09-23 11:20:27.996282,160400000,-77.97,-70.66
2022-09-23 11:20:28.497030,160400000,-78.01,-70.12
2022-09-23 11:20:28.997096,160400000,-78.01,-69.72
2022-09-23 11:20:29.498119,160400000,-77.95,-70.4
2022-09-23 11:20:29.998225,160400000,-78.13,-69.97
2022-09-23 11:20:30.498921,160400000,-77.09,-69.9
2022-09-23 11:20:30.999011,160400000,-78.28,-70.94
2022-09-23 11:20:31.499684,160400000,-78.0,-69.41
2022-09-23 11:20:32.000100,160400000,-78.63,-70.68
2022-09-23 11:20:32.501080,160400000,-77.74,-69.87
2022-09-23 11:20:33.000891,160400000,-78.05,-70.59
2022-09-23 11:20:33.501586,160400000,-77.56,-69.85
2022-09-23 11:20:34.002047,160400000,-78.19,-69.73
2022-09-23 11:20:34.502706,160400000,-78.14,-70.45
2022-09-23 11:20:35.003092,160400000,-77.79,-69.19
2022-09-23 11:20:35.503542,160400000,-78.5,-69.8
2022-09-23 11:20:36.004637,160400000,-77.57,-70.85
2022-09-23 11:20:36.504635,160400000,-77.28,-70.77
2022-09-23 11:20:37.004689,160400000,-77.75,-69.24
2022-09-23 11:20:37.505838,160400000,-77.1,-70.31
2022-09-23 11:20:38.005906,160400000,-78.49,-70.51
2022-09-23 11:20:38.506674,160400000,-77.65,-69.84
2022-09-23 11:20:39.007072,160400000,-78.36,-70.64
2022-09-23 11:20:39.507487,160400000,-77.8,-70.32
2022-09-23 11:20:40.008200,160400000,-78.49,-70.96
2022-09-23 11:20:40.508540,160400000,-78.27,-70.21
2022-09-23 11:20:41.008639,160400000,-78.05,-69.99
2022-09-23 11:20:41.509383,160400000,-77.52,-70.09
2022-09-23 11:20:42.009768,160400000,-78.03,-70.46
2022-09-23 11:20:42.510166,160400000,-78.15,-69.91
2022-09-23 11:20:43.013177,160400000,-77.76,-70.79
2022-09-23 11:20:43.511277,160400000,-78.06,-69.63
2022-09-23 11:20:44.011667,160400000,-77.1,-70.56
2022-09-23 11:20:44.512096,160400000,-78.24,-70.83
2022-09-23 11:20:45.012813,160400000,-77.45,-70.02
2022-09-23 11:20:45.513512,160400000,-78.04,-71.23
2022-09-23 11:20:46.013873,160400000,-77.68,-69.26
2022-09-23 11:20:46.514021,160400000,-78.23,-69.2
2022-09-23 11:20:47.014720,160400000,-77.54,-70.92
2022-09-23 11:20:47.515118,160400000,-77.93,-68.39
2022-09-23 11:20:48.016238,160400000,-77.95,-70.31
2022-09-23 11:20:48.516024,160400000,-78.03,-71.0
2022-09-23 11:20:49.016732,160400000,-78.06,-70.47
2022-09-23 11:20:49.517161,160400000,-77.25,-70.4
2022-09-23 11:20:50.017900,160400000,-78.08,-69.61
2022-09-23 11:20:50.518244,160400000,-77.87,-70.96
2022-09-23 11:20:51.018676,160400000,-77.86,-71.23
2022-09-23 11:20:51.519050,160400000,-78.0,-70.9
2022-09-23 11:20:52.019712,160400000,-77.53,-70.34
2022-09-23 11:20:52.519876,160400000,-78.1,-70.72
2022-09-23 11:20:53.020870,160400000,-78.28,-69.97
2022-09-23 11:20:53.520975,160400000,-78.28,-70.09
2022-09-23 11:20:54.021709,160400000,-78.59,-69.48
2022-09-23 11:20:54.521798,160400000,-77.86,-69.71
2022-09-23 11:20:55.022469,160400000,-77.8,-69.78
2022-09-23 11:20:55.522899,160400000,-78.19,-70.03
2022-09-23 11:20:56.023664,160400000,-78.63,-70.06
2022-09-23 11:20:56.524674,160400000,-78.2,-70.56
2022-09-23 11:20:57.024417,160400000,-77.95,-70.41
2022-09-23 11:20:57.524828,160400000,-78.21,-70.3
2022-09-23 11:20:58.025568,160400000,-78.39,-70.52
2022-09-23 11:20:58.526020,160400000,-78.44,-70.12
2022-09-23 11:20:59.026413,160400000,-78.08,-69.06
2022-09-23 11:20:59.526893,160400000,-77.95,-70.69
2022-09-23 11:21:00.027606,160400000,-78.62,-70.21
2022-09-23 11:21:00.527678,160400000,-78.29,-70.09
2022-09-23 11:21:01.029525,160400000,-77.93,-70.41
2022-09-23 11:21:01.528690,160400000,-78.52,-70.75
2022-09-23 11:21:02.029096,160400000,-78.13,-71.03
2022-09-23 11:21:02.529525,160400000,-77.97,-69.33
2022-09-23 11:21:03.029886,160400000,-78.18,-69.65
2022-09-23 11:21:03.530932,160400000,-77.95,-70.47
2022-09-23 11:21:04.030691,160400000,-78.07,-70.05
2022-09-23 11:21:04.531405,160400000,-78.38,-70.15
2022-09-23 11:21:05.031841,160400000,-78.29,-70.83
2022-09-23 11:21:05.532555,160400000,-78.03,-70.16
